# epoch recerr_sq kldiv lact_dec valid_recerr_sq valid_kldiv duration
219 5.2565241e-01 1.0276866e+02 1.0960407e+01 5.3166258e-01 1.0354642e+02 2.1364250e+03
220 4.6632901e-01 1.0350676e+02 1.0938127e+01 4.5422047e-01 1.0407957e+02 2.1468719e+03
221 5.0351393e-01 1.0473124e+02 1.0776787e+01 4.2351854e-01 1.0422592e+02 2.1592537e+03
222 5.0971818e-01 1.0566365e+02 1.0814213e+01 4.7550681e-01 1.0466001e+02 2.1710743e+03
223 4.3135184e-01 1.0574877e+02 1.0802215e+01 4.9040219e-01 1.0557738e+02 2.1797966e+03
224 4.7831401e-01 1.0607192e+02 1.0643940e+01 3.5542861e-01 1.0575153e+02 2.1897750e+03
225 4.3107268e-01 1.0656314e+02 1.0660774e+01 3.9069244e-01 1.0566417e+02 2.2025089e+03
226 3.9850512e-01 1.0683147e+02 1.0668004e+01 4.8347110e-01 1.0615500e+02 2.2109982e+03
227 4.6431655e-01 1.0706477e+02 1.0543286e+01 5.1880884e-01 1.0588142e+02 2.2209170e+03
228 5.1376128e-01 1.0714192e+02 1.0495935e+01 4.9246106e-01 1.0600142e+02 2.2312683e+03
229 4.3852836e-01 1.0665974e+02 1.0364650e+01 3.8745904e-01 1.0714977e+02 2.2393973e+03
230 4.4455314e-01 1.0695483e+02 1.0303341e+01 3.9646733e-01 1.0870497e+02 2.2495663e+03
231 4.0860748e-01 1.0773665e+02 1.0436196e+01 3.5699043e-01 1.0812227e+02 2.2565492e+03
232 3.7180373e-01 1.0853880e+02 1.0303558e+01 4.0404519e-01 1.0843614e+02 2.2647929e+03
233 4.8489815e-01 1.0928146e+02 1.0304929e+01 5.8300543e-01 1.0799667e+02 2.2765301e+03
234 4.6654496e-01 1.0940957e+02 1.0089943e+01 3.3625844e-01 1.0956495e+02 2.2842887e+03
235 4.2829108e-01 1.0930658e+02 1.0219524e+01 4.0179566e-01 1.0952534e+02 2.2953804e+03
236 4.1250199e-01 1.0958689e+02 1.0080949e+01 3.7821800e-01 1.1053506e+02 2.3065043e+03
237 4.4129509e-01 1.0983682e+02 1.0097960e+01 5.3140312e-01 1.1052759e+02 2.3150084e+03
238 5.0840098e-01 1.1031441e+02 1.0092045e+01 3.9376691e-01 1.1051849e+02 2.3249293e+03
239 3.8653648e-01 1.1034282e+02 9.9495554e+00 3.8023591e-01 1.1090367e+02 2.3342945e+03
240 4.3171218e-01 1.1071850e+02 9.9662485e+00 3.2128847e-01 1.1136576e+02 2.3412894e+03
241 4.1149068e-01 1.1074795e+02 9.9525232e+00 4.0713435e-01 1.1212634e+02 2.3522976e+03
242 4.6679419e-01 1.1098637e+02 9.9836178e+00 3.8437125e-01 1.1156955e+02 2.3605803e+03
243 3.7924102e-01 1.1123424e+02 9.8795786e+00 3.4746537e-01 1.1165002e+02 2.3686319e+03
244 3.7551802e-01 1.1139137e+02 9.8676081e+00 3.5970277e-01 1.1227301e+02 2.3766515e+03
245 4.7222215e-01 1.1205841e+02 9.7235193e+00 5.9126312e-01 1.1274983e+02 2.3851285e+03
246 6.6282183e-01 1.1109765e+02 1.0083232e+01 4.8437870e-01 1.0968437e+02 2.3962445e+03
