# epoch recerr_sq kldiv lact_dec valid_recerr_sq valid_kldiv duration
196 2.8352708e-01 8.5940926e+01 0.0000000e+00 2.5961047e-01 8.5627083e+01 1.0018726e+02
197 2.8281054e-01 8.6238594e+01 0.0000000e+00 2.5554070e-01 8.5870499e+01 1.0045000e+02
198 2.9957876e-01 8.6482559e+01 0.0000000e+00 2.7887651e-01 8.6778465e+01 1.0088234e+02
199 2.8625000e-01 8.7127991e+01 0.0000000e+00 2.7774745e-01 8.5266251e+01 1.0126011e+02
200 3.1159568e-01 8.7217621e+01 0.0000000e+00 2.7070233e-01 8.5594841e+01 1.0151297e+02
201 2.9126537e-01 8.7405548e+01 0.0000000e+00 2.6644793e-01 8.6027382e+01 1.0189492e+02
202 2.9010952e-01 8.7721832e+01 0.0000000e+00 2.8032959e-01 8.5649147e+01 1.0238854e+02
203 3.1865710e-01 8.7677185e+01 0.0000000e+00 2.8149992e-01 8.6326340e+01 1.0276094e+02
204 3.0943078e-01 8.7437157e+01 0.0000000e+00 2.5854042e-01 8.6800079e+01 1.0302724e+02
205 2.7775234e-01 8.7431175e+01 0.0000000e+00 2.5412333e-01 8.6221230e+01 1.0356828e+02
206 2.7247617e-01 8.7339386e+01 0.0000000e+00 2.5565362e-01 8.6523857e+01 1.0405445e+02
207 2.7647865e-01 8.7297638e+01 0.0000000e+00 2.5009298e-01 8.5681007e+01 1.0442719e+02
208 2.7276215e-01 8.7304276e+01 0.0000000e+00 2.5969964e-01 8.5539703e+01 1.0513789e+02
209 3.0139312e-01 8.7324875e+01 0.0000000e+00 2.5461164e-01 8.6050583e+01 1.0563947e+02
210 2.7037618e-01 8.7453262e+01 0.0000000e+00 2.4189110e-01 8.6706291e+01 1.0627897e+02
211 2.7787313e-01 8.7905785e+01 0.0000000e+00 2.9289597e-01 8.5157196e+01 1.0686329e+02
212 3.3848876e-01 8.7746140e+01 0.0000000e+00 3.0215323e-01 8.5298820e+01 1.0729216e+02
213 3.0311745e-01 8.7105392e+01 0.0000000e+00 3.3992073e-01 8.8103416e+01 1.0791338e+02
214 4.1491187e-01 8.7023674e+01 0.0000000e+00 2.5344941e-01 8.6568245e+01 1.0858298e+02
215 3.1841150e-01 8.6318352e+01 0.0000000e+00 3.0732501e-01 8.3320778e+01 1.0887605e+02
216 3.0752173e-01 8.4576195e+01 0.0000000e+00 2.6920068e-01 8.2878166e+01 1.0941223e+02
217 2.9241166e-01 8.4036972e+01 0.0000000e+00 2.6095062e-01 8.2853378e+01 1.0966552e+02
218 2.8385198e-01 8.3401764e+01 0.0000000e+00 2.6952136e-01 8.2334023e+01 1.1020998e+02
219 2.8693944e-01 8.3068497e+01 0.0000000e+00 2.5362381e-01 8.2714668e+01 1.1063976e+02
220 2.6586577e-01 8.3038429e+01 0.0000000e+00 2.4599947e-01 8.1352859e+01 1.1131314e+02
221 2.7251360e-01 8.2959160e+01 0.0000000e+00 2.6517633e-01 8.1286102e+01 1.1206240e+02
222 2.9279584e-01 8.3213554e+01 0.0000000e+00 2.5952587e-01 8.1342209e+01 1.1280926e+02
223 2.7192140e-01 8.3301971e+01 0.0000000e+00 2.3283514e-01 8.2378273e+01 1.1304642e+02
224 2.5266972e-01 8.3754074e+01 0.0000000e+00 2.3502436e-01 8.3536613e+01 1.1355572e+02
225 2.4940325e-01 8.4256660e+01 0.0000000e+00 2.3085423e-01 8.3617874e+01 1.1367454e+02
226 2.5019303e-01 8.4893967e+01 0.0000000e+00 2.3996259e-01 8.3710228e+01 1.1437068e+02
227 2.5870973e-01 8.5504257e+01 0.0000000e+00 2.5885680e-01 8.3439140e+01 1.1480073e+02
228 3.2941997e-01 8.6001816e+01 0.0000000e+00 3.2089180e-01 8.3174446e+01 1.1537506e+02
229 2.8470790e-01 8.5875450e+01 0.0000000e+00 2.5560567e-01 8.6514114e+01 1.1564345e+02
230 2.7122939e-01 8.6479347e+01 0.0000000e+00 2.3350526e-01 8.5247116e+01 1.1619031e+02
231 2.5970584e-01 8.6646416e+01 0.0000000e+00 2.2901410e-01 8.6195915e+01 1.1692427e+02
232 2.5988919e-01 8.6930176e+01 0.0000000e+00 2.3070061e-01 8.5764748e+01 1.1757483e+02
233 2.5659189e-01 8.7254524e+01 0.0000000e+00 2.3025167e-01 8.6192169e+01 1.1794843e+02
234 2.5021052e-01 8.7559769e+01 0.0000000e+00 2.4506928e-01 8.7734825e+01 1.1851340e+02
235 2.6045924e-01 8.8313469e+01 0.0000000e+00 2.7123201e-01 8.7178986e+01 1.1913061e+02
236 2.6318783e-01 8.8412483e+01 0.0000000e+00 2.4782725e-01 8.8417580e+01 1.1974851e+02
237 2.5535095e-01 8.8884384e+01 0.0000000e+00 2.2826888e-01 8.7474739e+01 1.2014360e+02
238 2.5042945e-01 8.8860703e+01 0.0000000e+00 2.2308487e-01 8.7929665e+01 1.2090554e+02
239 2.4652523e-01 8.8892258e+01 0.0000000e+00 2.4638934e-01 8.9291534e+01 1.2140906e+02
240 2.8007615e-01 8.9105774e+01 0.0000000e+00 2.5868839e-01 8.9270996e+01 1.2172718e+02
241 2.5119114e-01 8.9600922e+01 0.0000000e+00 2.3254517e-01 8.8030701e+01 1.2234505e+02
242 2.6053834e-01 8.9659004e+01 0.0000000e+00 2.3688467e-01 8.8158226e+01 1.2281522e+02
243 2.4417099e-01 8.9681175e+01 0.0000000e+00 2.3218940e-01 8.9981522e+01 1.2320868e+02
244 2.4631046e-01 9.0248749e+01 0.0000000e+00 2.3818722e-01 8.8346100e+01 1.2359078e+02
245 2.5511935e-01 9.0237373e+01 0.0000000e+00 2.3843974e-01 8.8686005e+01 1.2420279e+02
246 2.4885757e-01 9.0483192e+01 0.0000000e+00 2.2680035e-01 8.9733322e+01 1.2487996e+02
